iter	Passed	Remaining
360	629	1113
361	630	1111
362	632	1109
363	634	1108
364	635	1106
365	637	1104
366	639	1102
367	640	1100
368	642	1099
369	644	1097
370	646	1095
371	647	1093
372	649	1091
373	651	1089
374	652	1088
375	654	1086
376	656	1084
377	658	1083
378	660	1081
379	661	1079
380	663	1078
381	665	1076
382	667	1074
383	669	1073
384	670	1071
385	672	1069
386	674	1068
387	675	1066
388	677	1064
389	679	1062
390	680	1060
391	682	1058
392	684	1057
393	686	1055
394	687	1053
395	689	1051
396	691	1049
397	693	1048
398	694	1046
399	696	1044
400	698	1042
401	699	1041
402	701	1039
403	703	1037
404	705	1036
405	707	1034
406	708	1032
407	710	1031
408	712	1029
409	713	1026
410	715	1024
411	716	1023
412	718	1021
413	720	1019
414	722	1017
415	723	1016
416	725	1014
417	726	1012
418	728	1010
419	730	1008
420	732	1006
421	733	1005
422	735	1003
423	737	1001
424	739	1000
425	741	998
426	742	996
427	744	995
428	746	993
429	748	991
430	750	990
431	751	988
432	753	986
433	755	984
434	756	983
435	758	981
436	760	979
437	762	978
438	764	976
439	765	974
440	767	972
441	768	970
442	770	969
443	772	967
444	774	965
445	775	963
446	777	961
447	779	960
448	781	958
449	782	956
450	784	954
451	786	953
452	787	951
453	789	949
454	791	948
455	793	946
456	795	944
457	796	943
458	798	941
459	800	939
460	801	937
461	803	935
462	805	934
463	807	932
464	809	930
465	810	929
466	812	927
467	814	925
468	816	924
469	817	922
470	819	920
471	821	918
472	823	917
473	824	915
474	826	913
475	828	911
476	830	910
477	832	908
478	833	906
479	835	905
480	837	903
481	838	901
482	840	899
483	842	898
484	844	896
485	845	894
486	847	892
487	849	891
488	851	889
489	852	887
490	854	886
491	856	884
492	858	882
493	859	880
494	861	879
495	863	877
496	865	875
497	866	873
498	868	872
499	870	870
500	872	868
501	873	867
502	875	865
503	877	863
504	879	861
505	880	859
506	882	858
507	884	856
508	886	854
509	887	853
510	889	850
511	890	849
512	892	847
513	894	845
514	896	843
515	897	841
516	899	840
517	901	838
518	902	836
519	904	835
520	906	833
521	908	831
522	909	829
523	911	828
524	913	826
525	915	824
526	916	822
527	918	821
528	920	819
529	921	817
530	923	815
531	925	813
532	927	812
533	928	810
534	930	808
535	932	807
536	934	805
537	935	803
538	937	801
539	939	800
540	940	798
541	942	796
542	944	794
543	945	792
544	947	791
545	949	789
546	951	787
547	952	785
548	954	784
549	956	782
550	958	780
551	959	778
552	961	777
553	963	775
554	965	773
555	966	771
556	968	770
557	970	768
558	972	767
559	974	765
560	976	763
561	978	762
562	980	760
563	982	759
564	984	757
565	986	756
566	988	754
567	989	752
568	991	750
569	993	749
570	994	747
571	996	745
572	998	743
573	1000	742
574	1001	740
575	1003	738
576	1005	736
577	1006	735
578	1008	733
579	1010	731
580	1012	729
581	1013	728
582	1015	726
583	1017	724
584	1019	723
585	1021	721
586	1022	719
587	1024	717
588	1025	715
589	1027	714
590	1029	712
591	1031	710
592	1032	708
593	1034	707
594	1036	705
595	1037	703
596	1039	701
597	1041	700
598	1043	698
599	1044	696
600	1046	694
601	1048	692
602	1049	691
603	1051	689
604	1053	687
605	1055	686
606	1056	684
607	1058	682
608	1060	680
609	1062	679
610	1064	677
611	1065	675
612	1067	674
613	1069	672
614	1071	670
615	1072	668
616	1074	667
617	1076	665
618	1078	663
619	1079	661
620	1081	660
621	1083	658
622	1085	656
623	1086	654
624	1088	653
625	1090	651
626	1092	649
627	1093	648
628	1095	646
629	1097	644
630	1099	642
631	1101	641
632	1102	639
633	1104	637
634	1106	636
635	1108	634
636	1109	632
637	1111	630
638	1113	628
639	1115	627
640	1116	625
641	1118	623
642	1120	622
643	1121	620
644	1123	618
645	1125	616
646	1127	614
647	1128	613
648	1130	611
649	1132	609
650	1134	608
651	1136	606
652	1137	604
653	1139	603
654	1141	601
655	1143	599
656	1145	597
657	1146	596
658	1148	594
659	1150	592
660	1152	590
661	1154	589
662	1155	587
663	1157	585
664	1159	583
665	1161	582
666	1162	580
667	1164	578
668	1166	577
669	1168	575
670	1169	573
671	1171	571
672	1173	570
673	1175	568
674	1177	566
675	1179	565
676	1180	563
677	1182	561
678	1184	559
679	1185	558
680	1187	556
681	1189	554
682	1191	552
683	1193	551
684	1194	549
685	1196	547
686	1198	545
687	1200	544
688	1201	542
689	1203	540
690	1205	539
691	1207	537
692	1208	535
693	1210	533
694	1212	532
695	1214	530
696	1216	528
697	1217	526
698	1219	525
699	1221	523
700	1223	521
701	1224	519
702	1226	518
703	1227	516
704	1229	514
705	1231	512
706	1232	510
707	1234	509
708	1236	507
709	1238	505
710	1239	503
711	1241	502
712	1243	500
713	1244	498
714	1246	496
715	1248	495
716	1250	493
717	1252	491
718	1253	490
719	1255	488
720	1257	486
721	1259	484
722	1260	483
723	1262	481
724	1264	479
725	1266	477
726	1267	476
727	1269	474
728	1271	472
729	1272	470
730	1274	469
731	1276	467
732	1277	465
733	1279	463
734	1281	462
735	1283	460
736	1285	458
737	1286	456
738	1288	455
739	1290	453
740	1291	451
741	1293	449
742	1295	448
743	1297	446
744	1298	444
745	1300	442
746	1302	441
747	1304	439
748	1305	437
749	1307	435
750	1309	434
751	1311	432
752	1313	430
753	1314	428
754	1316	427
755	1318	425
756	1320	423
757	1321	422
758	1323	420
759	1325	418
760	1327	416
761	1328	415
762	1330	413
763	1332	411
764	1334	409
765	1335	408
766	1337	406
767	1339	404
768	1341	402
769	1342	401
770	1344	399
771	1346	397
772	1348	395
773	1349	394
774	1351	392
775	1353	390
776	1355	388
777	1357	387
778	1358	385
779	1360	383
780	1362	382
781	1364	380
782	1365	378
783	1367	376
784	1369	375
785	1371	373
786	1372	371
787	1374	369
788	1376	368
789	1378	366
790	1379	364
791	1381	362
792	1383	361
793	1384	359
794	1386	357
795	1388	355
796	1390	354
797	1391	352
798	1393	350
799	1395	348
800	1396	347
801	1398	345
802	1400	343
803	1402	341
804	1403	340
805	1405	338
806	1407	336
807	1408	334
808	1410	333
809	1412	331
810	1414	329
811	1415	327
812	1417	326
813	1419	324
814	1421	322
815	1422	320
816	1424	319
817	1426	317
818	1428	315
819	1429	313
820	1431	312
821	1433	310
822	1435	308
823	1436	306
824	1438	305
825	1440	303
826	1442	301
827	1443	299
828	1445	298
829	1447	296
830	1448	294
831	1450	292
832	1452	291
833	1454	289
834	1456	287
835	1457	285
836	1459	284
837	1461	282
838	1463	280
839	1464	279
840	1466	277
841	1468	275
842	1470	273
843	1471	272
844	1473	270
845	1475	268
846	1477	266
847	1479	265
848	1481	263
849	1482	261
850	1484	259
851	1486	258
852	1488	256
853	1490	254
854	1492	253
855	1493	251
856	1495	249
857	1497	247
858	1499	246
859	1501	244
860	1503	242
861	1505	240
862	1506	239
863	1508	237
864	1510	235
865	1512	233
866	1513	232
867	1515	230
868	1517	228
869	1519	226
870	1520	225
871	1522	223
872	1524	221
873	1525	219
874	1527	218
875	1529	216
876	1531	214
877	1533	213
878	1534	211
879	1536	209
880	1538	207
881	1540	206
882	1541	204
883	1543	202
884	1545	200
885	1547	199
886	1548	197
887	1550	195
888	1552	193
889	1554	192
890	1555	190
891	1557	188
892	1559	186
893	1561	185
894	1562	183
895	1564	181
896	1566	179
897	1567	178
898	1569	176
899	1571	174
900	1573	172
901	1575	171
902	1577	169
903	1578	167
904	1580	165
905	1582	164
906	1584	162
907	1586	160
908	1587	158
909	1589	157
910	1591	155
911	1593	153
912	1595	151
913	1596	150
914	1598	148
915	1600	146
916	1602	145
917	1603	143
918	1605	141
919	1607	139
920	1609	138
921	1610	136
922	1612	134
923	1614	132
924	1616	131
925	1618	129
926	1619	127
927	1621	125
928	1623	124
929	1625	122
930	1626	120
931	1628	118
932	1630	117
933	1632	115
934	1634	113
935	1635	111
936	1637	110
937	1639	108
938	1641	106
939	1642	104
940	1644	103
941	1646	101
942	1648	99
943	1650	97
944	1651	96
945	1653	94
946	1655	92
947	1657	90
948	1658	89
949	1660	87
950	1662	85
951	1664	83
952	1665	82
953	1667	80
954	1669	78
955	1671	76
956	1673	75
957	1674	73
958	1676	71
959	1678	69
960	1679	68
961	1681	66
962	1683	64
963	1685	62
964	1686	61
965	1688	59
966	1690	57
967	1692	55
968	1694	54
969	1695	52
970	1697	50
971	1699	48
972	1701	47
973	1703	45
974	1705	43
975	1707	41
976	1708	40
977	1710	38
978	1712	36
979	1714	34
980	1715	33
981	1717	31
982	1719	29
983	1721	27
984	1723	26
985	1724	24
986	1726	22
987	1728	20
988	1730	19
989	1731	17
990	1733	15
991	1735	13
992	1737	12
993	1739	10
994	1740	8
995	1742	6
996	1744	5
997	1746	3
998	1747	1
999	1749	0
