iter	RMSE
217	4.540959575
218	4.53026927
219	4.526946254
220	4.526629277
221	4.522352163
222	4.521851459
223	4.515679214
224	4.51036482
225	4.509995576
226	4.503164283
227	4.498727939
228	4.498250749
229	4.491225367
230	4.489676918
231	4.488632381
232	4.48778286
233	4.486891641
234	4.479232059
235	4.478241443
236	4.477990274
237	4.476965509
238	4.476694151
239	4.475743845
240	4.474817844
241	4.473521935
242	4.473254787
243	4.472988025
244	4.472153565
245	4.471221513
246	4.470996629
247	4.467602451
248	4.450057262
249	4.44984691
250	4.448939772
251	4.448751759
252	4.448494079
253	4.448300129
254	4.448063303
255	4.427021194
256	4.426123322
257	4.420682134
258	4.419826737
259	4.415167723
260	4.409392711
261	4.408600306
262	4.392098244
263	4.387851909
264	4.382467043
265	4.366383745
266	4.365578058
267	4.36181416
268	4.351954234
269	4.344505925
270	4.34381722
271	4.34359934
272	4.328066755
273	4.318681267
274	4.310647225
275	4.309936376
276	4.309128266
277	4.306313426
278	4.297787723
279	4.297119416
280	4.296467963
281	4.294557705
282	4.293950499
283	4.293147865
284	4.288226639
285	4.287565416
286	4.286850635
287	4.271910111
288	4.270714441
289	4.269937404
290	4.269162556
291	4.245944553
292	4.245184429
293	4.230960372
294	4.230210545
295	4.229903116
296	4.229178105
297	4.228622252
298	4.22845406
299	4.228282188
300	4.227740415
301	4.227070709
302	4.226037714
303	4.225857936
304	4.225241668
305	4.224602941
306	4.216415853
307	4.215823164
308	4.202400588
309	4.180653368
310	4.180067119
311	4.179344834
312	4.178640751
313	4.1779545
314	4.17549193
315	4.174911805
316	4.174761037
317	4.174567926
318	4.174087356
319	4.170110807
320	4.169438157
321	4.166747201
322	4.159530535
323	4.158879337
324	4.143091588
325	4.127252327
326	4.11424831
327	4.113789994
328	4.113127078
329	4.111617137
330	4.108355586
331	4.10460241
332	4.103964964
333	4.090605858
334	4.088895522
335	4.088457135
336	4.071775552
337	4.069139316
338	4.051065342
339	4.050812065
340	4.05020726
341	4.050067803
342	4.048454773
343	4.048170899
344	4.047899903
345	4.047652426
346	4.04684502
347	4.027438383
348	4.013783836
349	4.010688223
350	4.010594507
351	4.010387083
352	4.001150149
353	3.993187653
354	3.989068315
355	3.988498317
356	3.988298768
357	3.981445628
358	3.974931188
359	3.974796622
360	3.973161383
361	3.972727773
362	3.972553986
363	3.971022995
364	3.970863447
365	3.970763471
366	3.965275885
367	3.965156797
368	3.962764944
369	3.962217516
370	3.960221099
371	3.960048439
372	3.946017426
373	3.945805269
374	3.944984933
375	3.944448528
376	3.936805752
377	3.936419499
378	3.92423018
379	3.92201249
380	3.91747209
381	3.914510226
382	3.910861088
383	3.894487731
384	3.893996929
385	3.893804868
386	3.888622272
387	3.888309822
388	3.888224773
389	3.888034079
390	3.88725178
391	3.884560153
392	3.884350957
393	3.884170931
394	3.884029765
395	3.883517856
396	3.883112012
397	3.868334581
398	3.868268345
399	3.854374076
400	3.853687515
401	3.85334458
402	3.852849056
403	3.852671536
404	3.852188574
405	3.851717825
406	3.846766663
407	3.837501951
408	3.837174111
409	3.837106231
410	3.837033427
411	3.831870729
412	3.822339258
413	3.821108075
414	3.820673299
415	3.815829348
416	3.812469415
417	3.812403726
418	3.812337617
419	3.812253295
420	3.811957585
421	3.802888938
422	3.790482029
423	3.789424534
424	3.785257239
425	3.784807337
426	3.780382518
427	3.768536552
428	3.765441861
429	3.75272556
430	3.752277546
431	3.751926878
432	3.751490089
433	3.750356142
434	3.749102582
435	3.733555133
436	3.732394015
437	3.727879188
438	3.72440982
439	3.724338583
440	3.712293475
441	3.71223028
442	3.711812337
443	3.711690374
444	3.710601469
445	3.710545487
446	3.710467287
447	3.70878794
448	3.700716667
449	3.698773989
450	3.698575608
451	3.698430109
452	3.698280478
453	3.68647692
454	3.683811309
455	3.683262892
456	3.678921713
457	3.678518586
458	3.678377398
459	3.678304067
460	3.677911033
461	3.676876122
462	3.676676578
463	3.674743246
464	3.663581478
465	3.663389481
466	3.661509432
467	3.661325343
468	3.659804865
469	3.656675581
470	3.652564213
471	3.651589047
472	3.651356285
473	3.651230168
474	3.650941812
475	3.638309511
476	3.631558901
477	3.616838269
478	3.616063851
479	3.615552526
480	3.604122429
481	3.601481075
482	3.599971613
483	3.599683093
484	3.599447869
485	3.5893925
486	3.587095061
487	3.585514326
488	3.583110725
489	3.582742116
490	3.580602239
491	3.577028734
492	3.576867885
493	3.576761948
494	3.575293416
495	3.575216095
496	3.574275555
497	3.571060864
498	3.569620591
499	3.566728295
500	3.566135423
501	3.55235158
502	3.552254233
503	3.550860224
504	3.548549941
505	3.548513074
506	3.547650727
507	3.536636095
508	3.52365388
509	3.521673374
510	3.521597105
511	3.520755393
512	3.510407087
513	3.510279579
514	3.508743041
515	3.50870225
516	3.506577964
517	3.496009579
518	3.494733867
519	3.492023101
520	3.490220473
521	3.489048076
522	3.48657257
523	3.485663375
524	3.483114341
525	3.482441058
526	3.482330355
527	3.482263091
528	3.470134296
529	3.470001913
530	3.469909713
531	3.469865158
532	3.467462234
533	3.460212949
534	3.460084066
535	3.450642645
536	3.448639022
537	3.448595319
538	3.446409434
539	3.443776654
540	3.443713347
541	3.442065206
542	3.441942277
543	3.441879452
544	3.431967433
545	3.431881775
546	3.431823223
547	3.430243937
548	3.42886213
549	3.415248972
550	3.403116614
551	3.402989189
552	3.401652497
553	3.392029107
554	3.390014875
555	3.389984943
556	3.377154836
557	3.375547925
558	3.375469356
559	3.373979937
560	3.37390359
561	3.373858779
562	3.372477911
563	3.371634708
564	3.371518151
565	3.36298335
566	3.362934967
567	3.361192952
568	3.361124254
569	3.35778021
570	3.357713167
571	3.35628743
572	3.356251883
573	3.344061513
574	3.335904489
575	3.335766137
576	3.33573397
577	3.335330344
578	3.334423112
579	3.33376871
580	3.333721534
581	3.328709447
582	3.326568156
583	3.321916044
584	3.312620027
585	3.31245237
586	3.31241944
587	3.312206218
588	3.312134513
589	3.312032712
590	3.311912556
591	3.309935326
592	3.301005635
593	3.300900705
594	3.30027358
595	3.300200365
596	3.300171143
597	3.299080856
598	3.289260806
599	3.277914932
600	3.277879844
601	3.277848278
602	3.26701755
603	3.253656911
604	3.247262421
605	3.240386753
606	3.240340076
607	3.230038438
608	3.221808166
609	3.217118986
610	3.216436703
611	3.208733023
612	3.203564555
613	3.203438344
614	3.200492145
615	3.199892056
616	3.19289594
617	3.18945442
618	3.186246969
619	3.18585552
620	3.178570719
621	3.171197071
622	3.171166543
623	3.170455648
624	3.163464878
625	3.160414883
626	3.158407288
627	3.151412992
628	3.151131219
629	3.144406917
630	3.132276672
631	3.122245474
632	3.11502951
633	3.113650882
634	3.111600182
635	3.111578909
636	3.111451888
637	3.11141923
638	3.110164305
639	3.103206072
640	3.101575449
641	3.091261578
642	3.085668323
643	3.08563781
644	3.084431684
645	3.078252008
646	3.077248852
647	3.069674551
648	3.062547975
649	3.059535619
650	3.056304448
651	3.054521636
652	3.052851629
653	3.047300308
654	3.045702612
655	3.045111587
656	3.042283957
657	3.036715361
658	3.036597801
659	3.029584287
660	3.026940272
661	3.02443969
662	3.02433468
663	3.023586163
664	3.017414092
665	3.005220236
666	3.005179788
667	2.993633801
668	2.992804599
669	2.985244505
670	2.977189544
671	2.972886885
672	2.970224051
673	2.967553937
674	2.965649056
675	2.95963342
676	2.959338482
677	2.958779511
678	2.946143989
679	2.943783807
680	2.941440518
681	2.93348538
682	2.932479755
683	2.925579101
684	2.921809705
685	2.915577968
686	2.915505286
687	2.910216242
688	2.909808335
689	2.907308405
690	2.896883655
691	2.89591266
692	2.895291547
693	2.888291374
694	2.876818419
695	2.874457944
696	2.863749212
697	2.860595616
698	2.858534547
699	2.85840072
700	2.848875509
701	2.845811547
702	2.845708757
703	2.845524804
704	2.845351721
705	2.845220044
706	2.845049967
707	2.839322737
708	2.839155109
709	2.838983284
710	2.838822555
711	2.838618451
712	2.833154695
713	2.830709884
714	2.829093277
715	2.828617323
716	2.828082453
717	2.826985471
718	2.824523464
719	2.823563745
720	2.819257517
721	2.819137574
722	2.818826295
723	2.808911469
724	2.808601281
725	2.808442916
726	2.80419976
727	2.804092301
728	2.803640666
729	2.803527676
730	2.793328039
731	2.793223341
732	2.793099926
733	2.782612351
734	2.77542867
735	2.775274885
736	2.774713474
737	2.774538764
738	2.765103569
739	2.764924508
740	2.762111689
741	2.754081889
742	2.749071817
743	2.74408303
744	2.743891293
745	2.739234829
746	2.736710712
747	2.732262488
748	2.732124325
749	2.729854725
750	2.72116867
751	2.720985442
752	2.716797193
753	2.714578772
754	2.712477487
755	2.710751653
756	2.708433165
757	2.708125116
758	2.697567127
759	2.697463228
760	2.697327886
761	2.697192417
762	2.694973777
763	2.694880339
764	2.694614263
765	2.69422511
766	2.694134194
767	2.693815427
768	2.689585683
769	2.689493355
770	2.687728578
771	2.683705179
772	2.68339648
773	2.676108833
774	2.674386672
775	2.671410281
776	2.671109444
777	2.660987096
778	2.660831698
779	2.659817112
780	2.659590283
781	2.654266568
782	2.654180345
783	2.64980333
784	2.648007341
785	2.644246519
786	2.64411198
787	2.643704616
788	2.643195186
789	2.635524456
790	2.635112609
791	2.634978266
792	2.625388696
793	2.625309061
794	2.616020012
795	2.615891924
796	2.615783513
797	2.615710777
798	2.615602271
799	2.612255405
800	2.609109297
801	2.603522817
802	2.595120668
803	2.5950164
804	2.594897432
805	2.593967395
806	2.593873425
807	2.590131001
808	2.586512981
809	2.586199712
810	2.583020372
811	2.581100812
812	2.577271603
813	2.576101492
814	2.575613131
815	2.573409825
816	2.57330084
817	2.570368177
818	2.569892846
819	2.565064137
820	2.564338654
821	2.563474459
822	2.563228347
823	2.562756089
824	2.55588897
825	2.555436068
826	2.551241004
827	2.551220965
828	2.546295143
829	2.545147772
830	2.545009214
831	2.535748929
832	2.527329516
833	2.527112494
834	2.523824533
835	2.5236597
836	2.523520297
837	2.517180802
838	2.515605123
839	2.513469958
840	2.510614156
841	2.510338939
842	2.507398306
843	2.507286654
844	2.504589507
845	2.504351529
846	2.504091982
847	2.501280061
848	2.501193316
849	2.499716365
850	2.49835118
851	2.497924507
852	2.496510517
853	2.490426081
854	2.489837114
855	2.486328164
856	2.486098447
857	2.485152849
858	2.483711995
859	2.477692027
860	2.473677506
861	2.473575149
862	2.470188005
863	2.469937131
864	2.464256844
865	2.460837672
866	2.460439201
867	2.460358924
868	2.459524567
869	2.459428012
870	2.459405458
871	2.456030963
872	2.455957754
873	2.454541307
874	2.453254245
875	2.446409863
876	2.443164015
877	2.443075342
878	2.443056551
879	2.442991254
880	2.441294457
881	2.44077828
882	2.435169595
883	2.430430878
884	2.429662448
885	2.428418532
886	2.428254433
887	2.427953358
888	2.427871514
889	2.424436882
890	2.424073522
891	2.423365762
892	2.422140953
893	2.42209626
894	2.421898905
895	2.421854402
896	2.421793398
897	2.418556418
898	2.415288483
899	2.411213798
900	2.404016258
901	2.402503884
902	2.395756864
903	2.395341533
904	2.391334017
905	2.391227426
906	2.390884008
907	2.389251804
908	2.389095158
909	2.389039988
910	2.38881722
911	2.386476661
912	2.381168371
913	2.375131713
914	2.372148098
915	2.371722884
916	2.369373771
917	2.368383622
918	2.366918729
919	2.363145687
920	2.358126998
921	2.354774437
922	2.353358598
923	2.353300328
924	2.353225198
925	2.352219196
926	2.350040535
927	2.348737158
928	2.348266811
929	2.344664998
930	2.344433684
931	2.343189437
932	2.341143551
933	2.338536633
934	2.338087711
935	2.337655813
936	2.334731
937	2.331158101
938	2.324180219
939	2.316764894
940	2.313425598
941	2.310288685
942	2.310258092
943	2.306640629
944	2.306423548
945	2.303390014
946	2.3032632
947	2.296293578
948	2.295564761
949	2.295209631
950	2.292325877
951	2.288710434
952	2.288693764
953	2.285376176
954	2.285152485
955	2.282349804
956	2.281997372
957	2.27836745
958	2.278145077
959	2.277592706
960	2.2747318
961	2.272492161
962	2.272430852
963	2.272027185
964	2.266668449
965	2.263718386
966	2.260894731
967	2.254635813
968	2.251804291
969	2.249168174
970	2.248943883
971	2.248562385
972	2.248443507
973	2.247777635
974	2.244363497
975	2.243996499
976	2.242361413
977	2.239629451
978	2.23807641
979	2.235273788
980	2.229712706
981	2.229563346
982	2.229177951
983	2.226621667
984	2.222171345
985	2.219702056
986	2.214501034
987	2.213492483
988	2.213272597
989	2.210721729
990	2.205789634
991	2.205556741
992	2.204666295
993	2.202488264
994	2.202379887
995	2.201455916
996	2.198945132
997	2.19657974
998	2.195631696
999	2.190104383
